OID_,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape_Length,Shape_Area
15,C52111,2023072201.000000000000000,2023,Lightning,2023-C52111,2.500000000000000,2023 ROLLOVER,20230722,20231010,20230721,Non-corrected ground GPS,JA70003000,0.000000000000000,2703272.000000000000000,24654.507900000000518,786.020099999999957,786.020140383203284,24654.507866220952565
16,C53002,2023090301.000000000000000,2023,Person,2023-C53002,1298.900000000000091,2023 ROLLOVER,20230903,20230903,20230828,Non-corrected ground GPS,JA70003000,0.000000000000000,2703274.000000000000000,12989388.237999999895692,19808.128199999999197,19808.128239539830247,12989388.238034127280116
17,C53478,2023120501.000000000000000,2023,Person,2023-C53478,28.399999999999999,2023 ROLLOVER,20231205,20231206,20231205,Non-corrected ground GPS,JA70003000,0.000000000000000,2703275.000000000000000,284209.523300000000745,5873.064599999999700,5873.064554811184280,284209.523321125074290
18,C11326,2023071201.000000000000000,2023,Lightning,2023-C11326,35.799999999999997,2023 ROLLOVER,20230712,20230712,20230707,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703199.000000000000000,357549.090599999995902,2293.827400000000125,2293.827414644309101,357549.090642702067271
19,C11405,2023071701.000000000000000,2023,Lightning,2023-C11405,1282.400000000000091,2023 ROLLOVER,20230717,20230717,20230709,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703201.000000000000000,12824262.086400000378489,15169.862900000000081,5832.616265234400089,1195568.998532683122903
20,C50014,2023040401.000000000000000,2023,Person,2023-C50014,2.100000000000000,2023 ROLLOVER,20230404,20230505,20230406,Non-corrected ground GPS,JA70003000,0.000000000000000,2703249.000000000000000,21339.795300000001589,1132.942099999999982,1132.942131610707520,21339.795274716507265
21,C50020,2023040901.000000000000000,2023,Person,2023-C50020,3.800000000000000,2023 ROLLOVER,20230409,20230418,20230408,Non-corrected ground GPS,JA70003000,0.000000000000000,2703250.000000000000000,37828.022299999996903,1549.856099999999969,1549.856093671090093,37828.022271680507401
22,C50023,2023041101.000000000000000,2023,Person,2023-C50023,10.400000000000000,2023 ROLLOVER,20230411,20230418,20230410,Non-corrected ground GPS,JA70003000,0.000000000000000,2703251.000000000000000,104303.919699999998556,2552.206200000000081,2552.206199664025917,104303.919672743082629
23,K71032,2023102701.000000000000000,2023,Lightning,2023-K71032,220.599999999999994,2023 ROLLOVER,20231027,20231030,20230630,Digitized other,JA70003000,0.000000000000000,2703599.000000000000000,2205748.041499999817461,7003.767399999999725,7003.767362213769957,2205748.041473440825939
24,K73206,2023091001.000000000000000,2023,Lightning,2023-K73206,14.199999999999999,2023 ROLLOVER,20230910,20230920,20230904,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703612.000000000000000,141526.611200000013923,1620.900599999999940,1620.900645640884250,141526.611175347061362
25,C10112,2023042901.000000000000000,2023,Person,2023-C10112,2.100000000000000,2023 ROLLOVER,20230429,20230531,20230428,Non-corrected ground GPS,JA70003000,0.000000000000000,2703189.000000000000000,20640.369200000001001,693.831099999999992,693.831077930405399,20640.369151285754924
26,C10439,2023052201.000000000000000,2023,Lightning,2023-C10439,1.200000000000000,2023 ROLLOVER,20230522,20230614,20230520,Non-corrected ground GPS,JA70003000,0.000000000000000,2703193.000000000000000,11996.085800000000745,539.668599999999969,539.668573388874620,11996.085772288261069
27,C11243,2023072301.000000000000000,2023,Lightning,2023-C11243,1297.599999999999909,2023 ROLLOVER,20230723,20230723,20230707,Non-corrected ground GPS,JA70003000,0.000000000000000,2703194.000000000000000,12976019.966299999505281,30777.775499999999738,30777.775539093818225,12976019.966252164915204
28,C11290,2023071601.000000000000000,2023,Lightning,2023-C11290,2784.699999999999818,2023 ROLLOVER,20230716,20230716,20230707,Non-corrected ground GPS,JA70003000,0.000000000000000,2703195.000000000000000,27846836.404199998825788,27453.394000000000233,27453.393982838559168,27846836.404216419905424
29,C11308,2023070901.000000000000000,2023,Lightning,2023-C11308,11.000000000000000,2023 ROLLOVER,20230709,20230906,20230708,Non-corrected ground GPS,JA70003000,0.000000000000000,2703196.000000000000000,109908.042000000001281,1742.932199999999966,1742.932232311505459,109908.042017884014058
30,G10177,2023052301.000000000000000,2023,Person,2023-G10177,1.700000000000000,2023 ROLLOVER,20230523,20230523,20230502,Non-corrected ground GPS,JA70003000,0.000000000000000,2703277.000000000000000,17392.906800000000658,722.924600000000055,722.924603663192102,17392.906831551586947
31,G10199,2023040401.000000000000000,2023,Person,2023-G10199,1.900000000000000,2023 ROLLOVER,20230404,20230518,20230504,Non-corrected ground GPS,JA70003000,0.000000000000000,2703278.000000000000000,19433.674999999999272,805.569299999999998,805.569277605619277,19433.674975989099039
32,C11319,2023071701.000000000000000,2023,Lightning,2023-C11319,339.300000000000011,2023 ROLLOVER,20230717,20230717,20230708,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703197.000000000000000,3392736.360499999951571,10509.782400000000052,10509.782416165819086,3392736.360500928480178
33,C11321,2023071701.000000000000000,2023,Lightning,2023-C11321,32.000000000000000,2023 ROLLOVER,20230717,20230717,20230708,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703198.000000000000000,319726.407100000011269,2596.500900000000001,2596.500926506390897,319726.407101116725244
34,C11328,2023071201.000000000000000,2023,Lightning,2023-C11328,5.000000000000000,2023 ROLLOVER,20230712,20230712,20230707,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703200.000000000000000,49627.852599999998347,1141.607099999999946,1141.607052185813473,49627.852585170920065
35,G41848,2023112801.000000000000000,2023,Lightning,2023-G41848,2.400000000000000,2023 ROLLOVER,20231128,20231218,20230716,Non-corrected ground GPS,JA70003000,0.000000000000000,2703338.000000000000000,23608.213100000000850,730.125499999999988,730.125519638279002,23608.213057437551470
36,G41949,2023072201.000000000000000,2023,Lightning,2023-G41949,21.500000000000000,2023 ROLLOVER,20230722,20230723,20230714,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703339.000000000000000,214939.418899999989662,1781.609600000000000,1781.609635510948692,214939.418899758486077
